crs,r0,i0,r1,x1,z1,i1,r2,x2,z2,i2,r3,x3,z3,i3,r4,x4,z4,i4,r5,x5,z5,i5,r6,x6,z6,i6,r7,x7,z7,i7
25,1.85,133,1.85,0.31,1.9,133,1.85,0.19,1.85,143,1.85,0.28,1.85,161,1.6,0.27,1.65,117,1.6,1.165,1.6,130,1.6,0.19,1.6,141,1.6,0.27,1.65,182
35,1.35,164,1.35,0.29,1.35,164,1.35,0.18,1.35,176,1.35,0.27,1.35,200,1.15,0.25,1.15,144,1.15,0.155,1.15,161,1.15,0.18,1.15,176,1.15,0.26,1.2,226
50,0.99,198,1,0.29,1.05,198,0.99,0.18,1,228,0.99,0.27,1,242,0.87,0.25,0.9,175,0.86,0.155,0.87,209,0.86,0.18,0.87,216,0.86,0.26,0.89,275
70,0.68,253,0.7,0.28,0.75,253,0.68,0.175,0.71,293,0.68,0.26,0.73,310,0.6,0.24,0.65,222,0.59,0.15,0.61,268,0.59,0.175,0.62,279,0.59,0.25,0.65,353
95,0.49,306,0.51,0.27,0.58,306,0.49,0.17,0.52,355,0.49,0.26,0.56,377,0.44,0.23,0.5,269,0.43,0.145,0.45,326,0.43,0.17,0.46,342,0.43,0.25,0.49,430
120,0.39,354,0.41,0.26,0.48,354,0.39,0.165,0.43,413,0.39,0.25,0.47,437,0.35,0.23,0.42,312,0.34,0.14,0.37,379,0.34,0.165,0.38,400,0.34,0.24,0.42,500
150,0.32,393,0.33,0.26,0.43,393,0.32,0.165,0.36,476,0.32,0.25,0.41,504,0.29,0.23,0.37,342,0.28,0.14,0.31,4036,0.28,0.165,0.32,464,0.28,0.24,0.37,577
185,0.25,449,0.27,0.26,0.37,449,0.26,0.165,0.3,545,0.25,0.25,0.36,575,0.23,0.23,0.32,384,0.22,0.14,0.26,500,0.22,0.165,0.28,533,0.22,0.24,0.33,661
240,0.19,528,0.21,0.26,0.33,528,0.2,0.16,0.25,644,0.195,0.25,0.31,679,0.185,0.22,0.29,450,0.17,0.14,0.22,590,0.17,0.165,0.24,634,0.17,0.24,0.29,781
300,0.155,603,0.175,0.25,0.31,603,0.16,0.16,0.22,743,0.155,0.25,0.29,783,0.15,0.22,0.27,514,0.14,0.14,0.195,681,0.135,0.16,0.21,736,0.135,0.24,0.27,902
400,0.12,683,0.14,0.25,0.29,683,0.13,0.155,0.2,868,0.125,0.24,0.27,940,0.125,0.22,0.25,584,0.11,0.135,0.175,793,0.11,0.16,0.195,868,0.11,0.24,0.26,1085
500,0.093,783,0.12,0.25,0.28,783,0.105,0.155,0.185,990,0.098,0.24,0.26,1083,0.1,0.22,0.24,666,0.09,0.135,0.16,904,0.088,0.16,0.18,998,0.085,0.24,0.25,1253
630,0.072,900,0.1,0.25,0.27,900,0.086,0.155,0.175,1130,0.078,0.24,0.25,1254,0.088,0.21,0.23,764,0.074,0.135,0.15,1033,0.071,0.16,0.17,1151,0.068,0.23,0.24,1454
800,0.056,,,,,,0.072,0.15,0.17,1288,0.064,0.24,0.25,1358,,,, ,0.062,0.13,0.145,1179,0.059,0.155,0.165,1275,0.055,0.23,0.24,1581
1000,0.045,,,,,,0.063,0.15,0.165,1443,0.054,0.24,0.24,1520,,,, ,0.055,0.13,0.14,1323,0.05,0.155,0.165,1436,0.047,0.23,0.24,1775
