bus,icost,ocost,scost,ec,ed,emax,emin,eini,pmax,pmin,qmax,qmin
260,347.2176,0,0,0.92,0.92,600,0,300,50,0,50,-50
260,347.2176,0,0,0.92,0.92,600,0,300,50,0,50,-50
260,347.2176,0,0,0.92,0.92,600,0,300,50,0,50,-50
260,347.2176,0,0,0.92,0.92,600,0,300,50,0,50,-50
260,347.2176,0,0,0.92,0.92,600,0,300,50,0,50,-50
260,347.2176,0,0,0.92,0.92,600,0,300,50,0,50,-50
260,347.2176,0,0,0.92,0.92,600,0,300,50,0,50,-50
260,347.2176,0,0,0.92,0.92,600,0,300,50,0,50,-50
260,347.2176,0,0,0.92,0.92,600,0,300,50,0,50,-50
260,347.2176,0,0,0.92,0.92,600,0,300,50,0,50,-50
260,347.2176,0,0,0.92,0.92,600,0,300,50,0,50,-50
260,347.2176,0,0,0.92,0.92,600,0,300,50,0,50,-50
